2026-02-12 16:03:02,793 | INFO | app.repository | [Cosmos] Chunk aa7270cb6a6fc9d1fa3864eb89287433_chunk_0 → indexed
2026-02-12 16:03:03,344 | INFO | app.repository | [Cosmos] Chunk aa7270cb6a6fc9d1fa3864eb89287433_chunk_1 → indexed
2026-02-12 16:03:03,867 | INFO | app.repository | [Cosmos] Chunk aa7270cb6a6fc9d1fa3864eb89287433_chunk_2 → indexed
2026-02-12 16:03:04,402 | INFO | app.repository | [Cosmos] Chunk aa7270cb6a6fc9d1fa3864eb89287433_chunk_3 → indexed
2026-02-12 16:03:04,925 | INFO | app.repository | [Cosmos] Chunk aa7270cb6a6fc9d1fa3864eb89287433_chunk_4 → indexed
2026-02-12 16:03:05,460 | INFO | app.repository | [Cosmos] Chunk aa7270cb6a6fc9d1fa3864eb89287433_chunk_5 → indexed
2026-02-12 16:03:06,287 | INFO | app.repository | [Cosmos] Chunk aa7270cb6a6fc9d1fa3864eb89287433_chunk_6 → indexed
2026-02-12 16:03:08,401 | INFO | httpx | HTTP Request: POST https://openiarag123.openai.azure.com/openai/deployments/text-embedding-ada-002/embeddings?api-version=2024-10-21 "HTTP/1.1 200 OK"
2026-02-12 16:03:08,746 | INFO | app.repository | [Cosmos] Chunk aa7270cb6a6fc9d1fa3864eb89287433_chunk_7 → indexed
2026-02-12 16:03:09,658 | INFO | app.repository | [Cosmos] Chunk aa7270cb6a6fc9d1fa3864eb89287433_chunk_8 → indexed
2026-02-12 16:03:09,878 | INFO | app.repository | [Cosmos] Chunk 3fe6eee76b3b0729c666a1b798aa3ca8_chunk_0 → indexed
2026-02-12 16:03:10,108 | INFO | app.repository | [Cosmos] Chunk 3fe6eee76b3b0729c666a1b798aa3ca8_chunk_1 → indexed
2026-02-12 16:03:10,333 | INFO | app.repository | [Cosmos] Chunk 3fe6eee76b3b0729c666a1b798aa3ca8_chunk_2 → indexed
2026-02-12 16:03:10,553 | INFO | app.repository | [Cosmos] Chunk 3fe6eee76b3b0729c666a1b798aa3ca8_chunk_3 → indexed
2026-02-12 16:03:10,771 | INFO | app.repository | [Cosmos] Chunk 3fe6eee76b3b0729c666a1b798aa3ca8_chunk_4 → indexed
2026-02-12 16:03:10,985 | INFO | app.repository | [Cosmos] Chunk 3fe6eee76b3b0729c666a1b798aa3ca8_chunk_5 → indexed
2026-02-12 16:03:11,203 | INFO | app.repository | [Cosmos] Chunk 3fe6eee76b3b0729c666a1b798aa3ca8_chunk_6 → indexed
2026-02-12 16:03:11,417 | INFO | app.repository | [Cosmos] Chunk 3fe6eee76b3b0729c666a1b798aa3ca8_chunk_7 → indexed
